cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id
105;22,29;104,16;23,47;106,2;3;15;horizontal_shift
106;22,29;106,2;23,47;108,24;3;16;horizontal_shift
107;22,29;108,24;23,47;110,28;3;17;horizontal_shift
108;22,29;110,28;23,47;112,32;3;18;horizontal_shift
109;22,29;112,32;23,47;114,36;3;19;horizontal_shift
110;22,29;114,36;23,47;116,4;3;20;horizontal_shift
111;22,29;116,4;23,47;118,44;3;21;horizontal_shift
112;22,29;118,44;23,47;120,48;3;22;horizontal_shift
113;22,29;120,48;23,47;122,52;3;23;horizontal_shift
114;22,29;122,52;23,47;124,56;3;24;horizontal_shift
115;22,29;124,56;23,47;126,6;3;25;horizontal_shift
116;22,29;126,6;23,47;128,64;3;26;horizontal_shift
117;22,29;128,64;23,47;130,68;3;27;horizontal_shift
118;22,29;130,68;23,47;132,72;3;28;horizontal_shift
119;22,29;132,72;23,47;134,76;3;29;horizontal_shift
120;23,47;73,5577;24,65;75,6;4;0;horizontal_shift
121;23,47;75,6;24,65;77,64;4;1;horizontal_shift
122;23,47;77,64;24,65;79,68;4;2;horizontal_shift
123;23,47;79,68;24,65;81,72;4;3;horizontal_shift
124;23,47;81,72;24,65;83,76;4;4;horizontal_shift
125;23,47;83,76;24,65;85,8;4;5;horizontal_shift
126;23,47;85,8;24,65;87,84;4;6;horizontal_shift
127;23,47;87,84;24,65;89,88;4;7;horizontal_shift
128;23,47;89,88;24,65;91,92;4;8;horizontal_shift
129;23,47;91,92;24,65;93,96;4;9;horizontal_shift
130;23,47;93,96;24,65;96,0;4;10;horizontal_shift
131;23,47;96,0;24,65;98,04;4;11;horizontal_shift
132;23,47;98,04;24,65;100,08;4;12;horizontal_shift
133;23,47;100,08;24,65;102,12;4;13;horizontal_shift
134;23,47;102,12;24,65;104,16;4;14;horizontal_shift
135;23,47;104,16;24,65;106,2;4;15;horizontal_shift
136;23,47;106,2;24,65;108,24;4;16;horizontal_shift
137;23,47;108,24;24,65;110,28;4;17;horizontal_shift
138;23,47;110,28;24,65;112,32;4;18;horizontal_shift
139;23,47;112,32;24,65;114,36;4;19;horizontal_shift
140;23,47;114,36;24,65;116,4;4;20;horizontal_shift
141;23,47;116,4;24,65;118,44;4;21;horizontal_shift
142;23,47;118,44;24,65;120,48;4;22;horizontal_shift
143;23,47;120,48;24,65;122,52;4;23;horizontal_shift
144;23,47;122,52;24,65;124,56;4;24;horizontal_shift
145;23,47;124,56;24,65;126,6;4;25;horizontal_shift
146;23,47;126,6;24,65;128,64;4;26;horizontal_shift
147;23,47;128,64;24,65;130,68;4;27;horizontal_shift
148;23,47;130,68;24,65;132,72;4;28;horizontal_shift
149;23,47;132,72;24,65;134,76;4;29;horizontal_shift
150;24,65;73,5577;25,83;75,6;5;0;horizontal_shift
151;24,65;75,6;25,83;77,64;5;1;horizontal_shift
152;24,65;77,64;25,83;79,68;5;2;horizontal_shift
153;24,65;79,68;25,83;81,72;5;3;horizontal_shift
154;24,65;81,72;25,83;83,76;5;4;horizontal_shift
155;24,65;83,76;25,83;85,8;5;5;horizontal_shift
156;24,65;85,8;25,83;87,84;5;6;horizontal_shift
157;24,65;87,84;25,83;89,88;5;7;horizontal_shift
158;24,65;89,88;25,83;91,92;5;8;horizontal_shift
159;24,65;91,92;25,83;93,96;5;9;horizontal_shift
160;24,65;93,96;25,83;96,0;5;10;horizontal_shift
161;24,65;96,0;25,83;98,04;5;11;horizontal_shift
162;24,65;98,04;25,83;100,08;5;12;horizontal_shift
163;24,65;100,08;25,83;102,12;5;13;horizontal_shift
164;24,65;102,12;25,83;104,16;5;14;horizontal_shift
165;24,65;104,16;25,83;106,2;5;15;horizontal_shift
166;24,65;106,2;25,83;108,24;5;16;horizontal_shift
167;24,65;108,24;25,83;110,28;5;17;horizontal_shift
168;24,65;110,28;25,83;112,32;5;18;horizontal_shift
169;24,65;112,32;25,83;114,36;5;19;horizontal_shift
170;24,65;114,36;25,83;116,4;5;20;horizontal_shift
171;24,65;116,4;25,83;118,44;5;21;horizontal_shift
172;24,65;118,44;25,83;120,48;5;22;horizontal_shift
173;24,65;120,48;25,83;122,52;5;23;horizontal_shift
174;24,65;122,52;25,83;124,56;5;24;horizontal_shift
175;24,65;124,56;25,83;126,6;5;25;horizontal_shift
176;24,65;126,6;25,83;128,64;5;26;horizontal_shift
177;24,65;128,64;25,83;130,68;5;27;horizontal_shift
178;24,65;130,68;25,83;132,72;5;28;horizontal_shift
179;24,65;132,72;25,83;134,76;5;29;horizontal_shift
180;25,83;73,5577;27,01;75,6;6;0;horizontal_shift
181;25,83;75,6;27,01;77,64;6;1;horizontal_shift
182;25,83;77,64;27,01;79,68;6;2;horizontal_shift
183;25,83;79,68;27,01;81,72;6;3;horizontal_shift
184;25,83;81,72;27,01;83,76;6;4;horizontal_shift
185;25,83;83,76;27,01;85,8;6;5;horizontal_shift
186;25,83;85,8;27,01;87,84;6;6;horizontal_shift
187;25,83;87,84;27,01;89,88;6;7;horizontal_shift
188;25,83;89,88;27,01;91,92;6;8;horizontal_shift
189;25,83;91,92;27,01;93,96;6;9;horizontal_shift
190;25,83;93,96;27,01;96,0;6;10;horizontal_shift
191;25,83;96,0;27,01;98,04;6;11;horizontal_shift
192;25,83;98,04;27,01;100,08;6;12;horizontal_shift
193;25,83;100,08;27,01;102,12;6;13;horizontal_shift
194;25,83;102,12;27,01;104,16;6;14;horizontal_shift
195;25,83;104,16;27,01;106,2;6;15;horizontal_shift
196;25,83;106,2;27,01;108,24;6;16;horizontal_shift
197;25,83;108,24;27,01;110,28;6;17;horizontal_shift
198;25,83;110,28;27,01;112,32;6;18;horizontal_shift
199;25,83;112,32;27,01;114,36;6;19;horizontal_shift
200;25,83;114,36;27,01;116,4;6;20;horizontal_shift
201;25,83;116,4;27,01;118,44;6;21;horizontal_shift
202;25,83;118,44;27,01;120,48;6;22;horizontal_shift
203;25,83;120,48;27,01;122,52;6;23;horizontal_shift
204;25,83;122,52;27,01;124,56;6;24;horizontal_shift
205;25,83;124,56;27,01;126,6;6;25;horizontal_shift
206;25,83;126,6;27,01;128,64;6;26;horizontal_shift
207;25,83;128,64;27,01;130,68;6;27;horizontal_shift
208;25,83;130,68;27,01;132,72;6;28;horizontal_shift
209;25,83;132,72;27,01;134,76;6;29;horizontal_shift
210;27,01;73,5577;28,19;75,6;7;0;horizontal_shift
211;27,01;75,6;28,19;77,64;7;1;horizontal_shift
212;27,01;77,64;28,19;79,68;7;2;horizontal_shift
213;27,01;79,68;28,19;81,72;7;3;horizontal_shift
214;27,01;81,72;28,19;83,76;7;4;horizontal_shift
215;27,01;83,76;28,19;85,8;7;5;horizontal_shift
216;27,01;85,8;28,19;87,84;7;6;horizontal_shift
