cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id
130;22,88;93,96;24,06;96,0;4;10;main
131;22,88;96,0;24,06;98,04;4;11;main
132;22,88;98,04;24,06;100,08;4;12;main
133;22,88;100,08;24,06;102,12;4;13;main
134;22,88;102,12;24,06;104,16;4;14;main
135;22,88;104,16;24,06;106,2;4;15;main
136;22,88;106,2;24,06;108,24;4;16;main
137;22,88;108,24;24,06;110,28;4;17;main
138;22,88;110,28;24,06;112,32;4;18;main
139;22,88;112,32;24,06;114,36;4;19;main
140;22,88;114,36;24,06;116,4;4;20;main
141;22,88;116,4;24,06;118,44;4;21;main
142;22,88;118,44;24,06;120,48;4;22;main
143;22,88;120,48;24,06;122,52;4;23;main
144;22,88;122,52;24,06;124,56;4;24;main
145;22,88;124,56;24,06;126,6;4;25;main
146;22,88;126,6;24,06;128,64;4;26;main
147;22,88;128,64;24,06;130,68;4;27;main
148;22,88;130,68;24,06;132,72;4;28;main
149;22,88;132,72;24,06;134,76;4;29;main
150;24,06;73,5577;25,24;75,6;5;0;main
151;24,06;75,6;25,24;77,64;5;1;main
152;24,06;77,64;25,24;79,68;5;2;main
153;24,06;79,68;25,24;81,72;5;3;main
154;24,06;81,72;25,24;83,76;5;4;main
155;24,06;83,76;25,24;85,8;5;5;main
156;24,06;85,8;25,24;87,84;5;6;main
157;24,06;87,84;25,24;89,88;5;7;main
158;24,06;89,88;25,24;91,92;5;8;main
159;24,06;91,92;25,24;93,96;5;9;main
160;24,06;93,96;25,24;96,0;5;10;main
161;24,06;96,0;25,24;98,04;5;11;main
162;24,06;98,04;25,24;100,08;5;12;main
163;24,06;100,08;25,24;102,12;5;13;main
164;24,06;102,12;25,24;104,16;5;14;main
165;24,06;104,16;25,24;106,2;5;15;main
166;24,06;106,2;25,24;108,24;5;16;main
167;24,06;108,24;25,24;110,28;5;17;main
168;24,06;110,28;25,24;112,32;5;18;main
169;24,06;112,32;25,24;114,36;5;19;main
170;24,06;114,36;25,24;116,4;5;20;main
171;24,06;116,4;25,24;118,44;5;21;main
172;24,06;118,44;25,24;120,48;5;22;main
173;24,06;120,48;25,24;122,52;5;23;main
174;24,06;122,52;25,24;124,56;5;24;main
175;24,06;124,56;25,24;126,6;5;25;main
176;24,06;126,6;25,24;128,64;5;26;main
177;24,06;128,64;25,24;130,68;5;27;main
178;24,06;130,68;25,24;132,72;5;28;main
179;24,06;132,72;25,24;134,76;5;29;main
180;25,24;73,5577;26,42;75,6;6;0;main
181;25,24;75,6;26,42;77,64;6;1;main
182;25,24;77,64;26,42;79,68;6;2;main
183;25,24;79,68;26,42;81,72;6;3;main
184;25,24;81,72;26,42;83,76;6;4;main
185;25,24;83,76;26,42;85,8;6;5;main
186;25,24;85,8;26,42;87,84;6;6;main
187;25,24;87,84;26,42;89,88;6;7;main
188;25,24;89,88;26,42;91,92;6;8;main
189;25,24;91,92;26,42;93,96;6;9;main
190;25,24;93,96;26,42;96,0;6;10;main
191;25,24;96,0;26,42;98,04;6;11;main
192;25,24;98,04;26,42;100,08;6;12;main
193;25,24;100,08;26,42;102,12;6;13;main
194;25,24;102,12;26,42;104,16;6;14;main
195;25,24;104,16;26,42;106,2;6;15;main
196;25,24;106,2;26,42;108,24;6;16;main
197;25,24;108,24;26,42;110,28;6;17;main
198;25,24;110,28;26,42;112,32;6;18;main
199;25,24;112,32;26,42;114,36;6;19;main
200;25,24;114,36;26,42;116,4;6;20;main
201;25,24;116,4;26,42;118,44;6;21;main
202;25,24;118,44;26,42;120,48;6;22;main
203;25,24;120,48;26,42;122,52;6;23;main
204;25,24;122,52;26,42;124,56;6;24;main
205;25,24;124,56;26,42;126,6;6;25;main
206;25,24;126,6;26,42;128,64;6;26;main
207;25,24;128,64;26,42;130,68;6;27;main
208;25,24;130,68;26,42;132,72;6;28;main
209;25,24;132,72;26,42;134,76;6;29;main
210;26,42;73,5577;27,6;75,6;7;0;main
211;26,42;75,6;27,6;77,64;7;1;main
212;26,42;77,64;27,6;79,68;7;2;main
213;26,42;79,68;27,6;81,72;7;3;main
214;26,42;81,72;27,6;83,76;7;4;main
215;26,42;83,76;27,6;85,8;7;5;main
216;26,42;85,8;27,6;87,84;7;6;main
217;26,42;87,84;27,6;89,88;7;7;main
218;26,42;89,88;27,6;91,92;7;8;main
219;26,42;91,92;27,6;93,96;7;9;main
220;26,42;93,96;27,6;96,0;7;10;main
221;26,42;96,0;27,6;98,04;7;11;main
222;26,42;98,04;27,6;100,08;7;12;main
223;26,42;100,08;27,6;102,12;7;13;main
224;26,42;102,12;27,6;104,16;7;14;main
225;26,42;104,16;27,6;106,2;7;15;main
226;26,42;106,2;27,6;108,24;7;16;main
227;26,42;108,24;27,6;110,28;7;17;main
228;26,42;110,28;27,6;112,32;7;18;main
229;26,42;112,32;27,6;114,36;7;19;main
230;26,42;114,36;27,6;116,4;7;20;main
231;26,42;116,4;27,6;118,44;7;21;main
232;26,42;118,44;27,6;120,48;7;22;main
233;26,42;120,48;27,6;122,52;7;23;main
234;26,42;122,52;27,6;124,56;7;24;main
235;26,42;124,56;27,6;126,6;7;25;main
236;26,42;126,6;27,6;128,64;7;26;main
