index;cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id;cell;inside
170;170;24,06;114,36;25,24;116,4;5;20;main;POLYGON ((116.4 24.06, 116.4 25.24, 114.36 25.24, 114.36 24.06, 116.4 24.06));True
171;171;24,06;116,4;25,24;118,44;5;21;main;POLYGON ((118.44 24.06, 118.44 25.24, 116.4 25.24, 116.4 24.06, 118.44 24.06));True
172;172;24,06;118,44;25,24;120,48;5;22;main;POLYGON ((120.48 24.06, 120.48 25.24, 118.44 25.24, 118.44 24.06, 120.48 24.06));True
191;191;25,24;96,0;26,42;98,04;6;11;main;POLYGON ((98.04 25.24, 98.04 26.42, 96 26.42, 96 25.24, 98.04 25.24));True
192;192;25,24;98,04;26,42;100,08;6;12;main;POLYGON ((100.08 25.24, 100.08 26.42, 98.04 26.42, 98.04 25.24, 100.08 25.24));True
193;193;25,24;100,08;26,42;102,12;6;13;main;POLYGON ((102.12 25.24, 102.12 26.42, 100.08 26.42, 100.08 25.24, 102.12 25.24));True
194;194;25,24;102,12;26,42;104,16;6;14;main;POLYGON ((104.16 25.24, 104.16 26.42, 102.12 26.42, 102.12 25.24, 104.16 25.24));True
195;195;25,24;104,16;26,42;106,2;6;15;main;POLYGON ((106.2 25.24, 106.2 26.42, 104.16 26.42, 104.16 25.24, 106.2 25.24));True
196;196;25,24;106,2;26,42;108,24;6;16;main;POLYGON ((108.24 25.24, 108.24 26.42, 106.2 26.42, 106.2 25.24, 108.24 25.24));True
197;197;25,24;108,24;26,42;110,28;6;17;main;POLYGON ((110.28 25.24, 110.28 26.42, 108.24 26.42, 108.24 25.24, 110.28 25.24));True
198;198;25,24;110,28;26,42;112,32;6;18;main;POLYGON ((112.32 25.24, 112.32 26.42, 110.28 26.42, 110.28 25.24, 112.32 25.24));True
199;199;25,24;112,32;26,42;114,36;6;19;main;POLYGON ((114.36 25.24, 114.36 26.42, 112.32 26.42, 112.32 25.24, 114.36 25.24));True
200;200;25,24;114,36;26,42;116,4;6;20;main;POLYGON ((116.4 25.24, 116.4 26.42, 114.36 26.42, 114.36 25.24, 116.4 25.24));True
201;201;25,24;116,4;26,42;118,44;6;21;main;POLYGON ((118.44 25.24, 118.44 26.42, 116.4 26.42, 116.4 25.24, 118.44 25.24));True
202;202;25,24;118,44;26,42;120,48;6;22;main;POLYGON ((120.48 25.24, 120.48 26.42, 118.44 26.42, 118.44 25.24, 120.48 25.24));True
217;217;26,42;87,84;27,6;89,88;7;7;main;POLYGON ((89.88 26.42, 89.88 27.6, 87.84 27.6, 87.84 26.42, 89.88 26.42));True
222;222;26,42;98,04;27,6;100,08;7;12;main;POLYGON ((100.08 26.42, 100.08 27.6, 98.04 27.6, 98.04 26.42, 100.08 26.42));True
223;223;26,42;100,08;27,6;102,12;7;13;main;POLYGON ((102.12 26.42, 102.12 27.6, 100.08 27.6, 100.08 26.42, 102.12 26.42));True
224;224;26,42;102,12;27,6;104,16;7;14;main;POLYGON ((104.16 26.42, 104.16 27.6, 102.12 27.6, 102.12 26.42, 104.16 26.42));True
225;225;26,42;104,16;27,6;106,2;7;15;main;POLYGON ((106.2 26.42, 106.2 27.6, 104.16 27.6, 104.16 26.42, 106.2 26.42));True
226;226;26,42;106,2;27,6;108,24;7;16;main;POLYGON ((108.24 26.42, 108.24 27.6, 106.2 27.6, 106.2 26.42, 108.24 26.42));True
227;227;26,42;108,24;27,6;110,28;7;17;main;POLYGON ((110.28 26.42, 110.28 27.6, 108.24 27.6, 108.24 26.42, 110.28 26.42));True
228;228;26,42;110,28;27,6;112,32;7;18;main;POLYGON ((112.32 26.42, 112.32 27.6, 110.28 27.6, 110.28 26.42, 112.32 26.42));True
229;229;26,42;112,32;27,6;114,36;7;19;main;POLYGON ((114.36 26.42, 114.36 27.6, 112.32 27.6, 112.32 26.42, 114.36 26.42));True
